,jd,mag,mag_unc,filter,limmag,programid,forced
0,2458198.874213,99.0,99.0,r,20.4412,1,1
1,2458198.8828009,99.0,99.0,r,20.3267,1,1
2,2458198.9077199,99.0,99.0,r,20.8709,1,1
3,2458199.8171644,99.0,99.0,r,19.7213,1,1
4,2458202.7885301,99.0,99.0,g,20.2468,1,1
5,2458202.795,99.0,99.0,g,20.2905,1,1
6,2458202.7959606,99.0,99.0,g,20.2901,1,1
7,2458202.8174653,99.0,99.0,g,20.3961,1,1
8,2458202.8411458,99.0,99.0,g,20.628,1,1
9,2458202.8420602,99.0,99.0,g,20.6039,1,1
10,2458202.8632639,99.0,99.0,g,20.6157,1,1
11,2458203.8481944,99.0,99.0,g,20.2056,1,1
12,2458203.8661574,99.0,99.0,g,20.3594,1,1
13,2458204.7768981,99.0,99.0,g,19.6425,1,1
14,2458204.8040856,99.0,99.0,g,19.7523,1,1
15,2458204.8285764,99.0,99.0,g,19.646,1,1
16,2458204.8366551,99.0,99.0,g,19.6216,1,1
17,2458204.8561921,99.0,99.0,g,19.9135,1,1
18,2458204.8945139,99.0,99.0,g,19.9226,1,1
19,2458205.7835301,99.0,99.0,g,19.6361,1,1
20,2458205.7956944,99.0,99.0,g,19.7265,1,1
21,2458205.8233796,99.0,99.0,g,19.7137,1,1
22,2458205.8360648,99.0,99.0,g,19.6591,1,1
23,2458205.8527778,99.0,99.0,g,19.0619,1,1
24,2458205.8570023,99.0,99.0,g,19.1765,1,1
25,2458205.8579167,99.0,99.0,g,19.0709,1,1
26,2458205.8944097,99.0,99.0,g,19.32,1,1
27,2458206.7757523,99.0,99.0,g,19.6472,1,1
28,2458206.7955093,99.0,99.0,g,19.7858,1,1
29,2458206.8055093,99.0,99.0,g,19.8744,1,1
30,2458206.8156713,99.0,99.0,g,19.8176,1,1
31,2458206.8303009,99.0,99.0,g,20.0612,1,1
32,2458206.8357176,99.0,99.0,g,19.8613,1,1
33,2458206.8716319,99.0,99.0,g,19.865,1,1
34,2458206.876331,99.0,99.0,g,19.8636,1,1
35,2458208.7757986,99.0,99.0,g,16.6313,1,1
36,2458208.800544,99.0,99.0,g,18.6399,1,1
37,2458208.8014815,99.0,99.0,g,18.5673,1,1
38,2458208.8285185,99.0,99.0,g,18.157,1,1
39,2458208.8534028,99.0,99.0,g,17.968,1,1
40,2458208.8730208,99.0,99.0,g,18.8389,1,1
41,2458208.8739352,99.0,99.0,g,18.8563,1,1
42,2458208.8905671,99.0,99.0,g,18.5992,1,1
43,2458210.7677894,99.0,99.0,g,19.5951,1,1
44,2458210.7877894,99.0,99.0,g,18.9944,1,1
45,2458210.8115278,99.0,99.0,g,19.5154,1,1
46,2458210.8162963,99.0,99.0,g,19.4322,1,1
47,2458210.8359375,99.0,99.0,g,18.987,1,1
48,2458210.8794676,99.0,99.0,g,19.2046,1,1
49,2458211.8285995,99.0,99.0,g,19.4579,1,1
50,2458214.7334838,99.0,99.0,r,18.6264,1,1
51,2458214.7471296,99.0,99.0,r,18.5723,1,1
52,2458214.7480671,99.0,99.0,r,18.3501,1,1
53,2458214.7592824,99.0,99.0,g,18.8317,1,1
54,2458214.7602199,99.0,99.0,g,18.3872,1,1
55,2458214.7620949,99.0,99.0,g,19.175,1,1
56,2458214.7879051,99.0,99.0,g,18.9406,1,1
57,2458214.7930787,99.0,99.0,g,17.4609,1,1
58,2458214.8152894,99.0,99.0,r,19.2606,1,1
59,2458214.8567477,99.0,99.0,i,18.6607,1,1
60,2458215.7377315,99.0,99.0,r,17.7431,1,1
61,2458215.765787,99.0,99.0,g,19.0168,1,1
62,2458215.7765972,99.0,99.0,r,18.6396,1,1
63,2458216.725625,99.0,99.0,r,20.1104,1,1
64,2458216.74625,99.0,99.0,r,20.5404,1,1
65,2458216.7472222,99.0,99.0,r,20.542,1,1
66,2458216.7699884,99.0,99.0,g,20.4075,1,1
67,2458217.7352778,99.0,99.0,r,20.397,1,1
68,2458217.7646412,99.0,99.0,r,20.5691,1,1
69,2458217.7755556,99.0,99.0,r,20.4823,1,1
70,2458217.788206,99.0,99.0,r,20.3155,1,1
71,2458217.7891667,99.0,99.0,r,20.5492,1,1
72,2458217.7947685,99.0,99.0,r,18.9686,1,1
73,2458217.7956829,99.0,99.0,r,18.7603,1,1
74,2458217.7965972,99.0,99.0,r,19.6809,1,1
75,2458217.8143866,99.0,99.0,r,20.6001,1,1
76,2458217.8359722,99.0,99.0,r,19.6119,1,1
77,2458218.7459606,99.0,99.0,r,20.4928,1,1
78,2458218.7521065,99.0,99.0,r,20.5648,1,1
79,2458218.784294,99.0,99.0,r,20.5069,1,1
80,2458218.7852315,99.0,99.0,r,20.4868,1,1
81,2458218.8097569,99.0,99.0,r,20.6593,1,1
82,2458218.8106713,99.0,99.0,r,20.6369,1,1
83,2458218.8534954,99.0,99.0,r,20.581,1,1
84,2458218.8568519,99.0,99.0,r,20.5823,1,1
85,2458218.8804282,99.0,99.0,r,20.711,1,1
86,2458219.7373032,99.0,99.0,r,20.101,1,1
87,2458219.7382755,99.0,99.0,r,19.8879,1,1
88,2458219.7683912,99.0,99.0,r,20.4306,1,1
89,2458219.7745139,99.0,99.0,r,20.5502,1,1
90,2458219.7958218,99.0,99.0,r,19.2392,1,1
91,2458219.7967361,99.0,99.0,r,19.3559,1,1
92,2458219.8353009,99.0,99.0,r,20.5929,1,1
93,2458219.8579745,99.0,99.0,r,20.5058,1,1
94,2458221.7482407,99.0,99.0,r,19.9979,1,1
95,2458221.7644329,99.0,99.0,r,19.9116,1,1
96,2458221.7653704,99.0,99.0,r,19.9144,1,1
97,2458221.7663542,99.0,99.0,r,19.9539,1,1
98,2458221.7760417,99.0,99.0,r,20.0764,1,1
99,2458222.7671181,99.0,99.0,r,20.1711,1,1
100,2458222.7893287,99.0,99.0,r,20.1697,1,1
101,2458222.7902431,99.0,99.0,r,20.0226,1,1
102,2458222.7944907,99.0,99.0,r,20.1489,1,1
103,2458222.8301505,99.0,99.0,r,20.3195,1,1
104,2458222.8562963,99.0,99.0,r,20.412,1,1
105,2458223.8187963,99.0,99.0,g,20.9205,1,1
106,2458224.7166551,99.0,99.0,r,18.9473,1,1
107,2458224.7403125,99.0,99.0,r,20.0902,1,1
108,2458224.7566898,99.0,99.0,r,20.009,1,1
109,2458224.7581366,99.0,99.0,r,19.9902,1,1
110,2458224.7695023,99.0,99.0,r,20.3226,1,1
111,2458224.7736921,99.0,99.0,r,20.354,1,1
112,2458224.795081,99.0,99.0,r,20.0962,1,1
113,2458224.827963,99.0,99.0,r,18.9562,1,1
114,2458224.8288889,99.0,99.0,r,19.0576,1,1
115,2458224.8316319,99.0,99.0,r,19.0501,1,1
116,2458224.8388426,99.0,99.0,r,18.3384,1,1
117,2458226.7701157,99.0,99.0,r,20.4679,1,1
118,2458226.7855556,99.0,99.0,r,20.6047,1,1
119,2458226.7864699,99.0,99.0,r,20.5936,1,1
120,2458226.805162,99.0,99.0,r,20.7353,1,1
121,2458226.8319907,99.0,99.0,r,20.6299,1,1
122,2458227.7657986,99.0,99.0,r,19.9683,1,1
123,2458227.7783102,99.0,99.0,r,20.3422,1,1
124,2458227.7792245,99.0,99.0,r,20.3311,1,1
125,2458227.7801505,99.0,99.0,r,20.3785,1,1
126,2458227.8039005,99.0,99.0,g,20.5585,1,1
127,2458227.8057292,99.0,99.0,g,20.6258,1,1
128,2458227.8160995,99.0,99.0,g,20.528,1,1
129,2458227.8532755,99.0,99.0,g,20.6178,1,1
130,2458229.7796991,99.0,99.0,g,20.5318,1,1
131,2458229.7811111,99.0,99.0,g,20.5321,1,1
132,2458229.8111574,99.0,99.0,g,20.7253,1,1
133,2458230.7480903,99.0,99.0,r,20.4491,1,1
134,2458230.7583333,99.0,99.0,r,20.4133,1,1
135,2458230.7592477,99.0,99.0,r,20.4374,1,1
136,2458230.760162,99.0,99.0,r,20.4451,1,1
137,2458230.7806944,99.0,99.0,r,17.7162,1,1
138,2458230.8269907,99.0,99.0,g,20.2899,1,1
139,2458230.8416782,99.0,99.0,g,20.5785,1,1
140,2458230.8426968,99.0,99.0,g,20.6612,1,1
141,2458230.8436111,99.0,99.0,g,20.6071,1,1
142,2458230.8725579,99.0,99.0,g,20.6103,1,1
143,2458231.781875,99.0,99.0,r,20.2676,1,1
144,2458231.8195949,99.0,99.0,r,20.2453,1,1
145,2458231.8739815,99.0,99.0,r,20.2449,1,1
146,2458232.6663657,99.0,99.0,g,19.1154,1,1
147,2458232.6778125,99.0,99.0,g,19.233,1,1
148,2458232.67875,99.0,99.0,g,19.1705,1,1
149,2458232.7070949,99.0,99.0,r,16.5694,1,1
150,2458232.7137963,99.0,99.0,r,17.1133,1,1
151,2458232.7357176,99.0,99.0,r,18.4836,1,1
152,2458232.7366551,99.0,99.0,r,18.1199,1,1
153,2458232.7581134,99.0,99.0,g,19.4994,1,1
154,2458232.8227778,99.0,99.0,i,19.932,1,1
155,2458233.6809722,99.0,99.0,r,19.9795,1,1
156,2458233.7013079,99.0,99.0,r,20.1117,1,1
157,2458233.7027315,99.0,99.0,r,20.1677,1,1
158,2458233.7037269,99.0,99.0,r,20.1807,1,1
159,2458233.7422685,99.0,99.0,g,20.1108,1,1
160,2458234.6977315,99.0,99.0,g,19.5824,1,1
161,2458234.7532292,99.0,99.0,g,19.1248,1,1
162,2458235.8194907,99.0,99.0,g,19.7766,1,1
163,2458236.6755324,99.0,99.0,g,19.322,1,1
164,2458236.6930903,99.0,99.0,g,19.3864,1,1
165,2458236.7177199,99.0,99.0,g,19.3211,1,1
166,2458236.7413426,99.0,99.0,g,19.4295,1,1
167,2458236.822581,99.0,99.0,g,19.319,1,1
168,2458236.8234954,99.0,99.0,g,19.3536,1,1
169,2458236.8429051,99.0,99.0,g,19.3252,1,1
170,2458237.6734144,99.0,99.0,g,19.2502,1,1
171,2458237.6752662,99.0,99.0,g,19.2424,1,1
172,2458237.7272685,99.0,99.0,g,19.281,1,1
173,2458237.7411806,99.0,99.0,g,19.2919,1,1
174,2458238.6511806,99.0,99.0,g,18.9342,1,1
175,2458238.6777431,99.0,99.0,g,19.1884,1,1
176,2458238.6801736,99.0,99.0,g,19.0749,1,1
177,2458242.7183333,99.0,99.0,g,20.5966,1,1
178,2458242.7470486,99.0,99.0,g,20.7286,1,1
179,2458242.7479861,99.0,99.0,g,20.703,1,1
180,2458242.748912,99.0,99.0,g,20.6865,1,1
181,2458242.7653125,99.0,99.0,r,20.5397,1,1
182,2458242.7833796,99.0,99.0,r,20.5027,1,1
183,2458242.784294,99.0,99.0,r,20.5087,1,1
184,2458242.7852083,99.0,99.0,r,20.4769,1,1
185,2458242.7940278,99.0,99.0,r,20.4689,1,1
186,2458243.6770718,99.0,99.0,r,20.3634,1,1
187,2458243.7188889,99.0,99.0,g,20.6329,1,1
188,2458243.7198032,99.0,99.0,g,20.6646,1,1
189,2458243.7627894,99.0,99.0,g,20.8346,1,1
190,2458243.7753356,99.0,99.0,r,20.6131,1,1
191,2458243.8069329,99.0,99.0,r,20.4455,1,1
192,2458244.6761458,99.0,99.0,r,20.4062,1,1
193,2458244.6770833,99.0,99.0,r,20.3585,1,1
194,2458244.7015046,99.0,99.0,g,20.6007,1,1
195,2458244.7210532,99.0,99.0,g,20.8166,1,1
196,2458244.7219676,99.0,99.0,g,20.8136,1,1
197,2458244.7464352,99.0,99.0,g,20.4349,1,1
198,2458244.797037,99.0,99.0,r,19.2784,1,1
199,2458244.8164583,99.0,99.0,r,20.5008,1,1
200,2458244.8827662,99.0,99.0,i,19.7693,1,1
201,2458245.67625,99.0,99.0,r,20.3035,1,1
202,2458245.7017593,99.0,99.0,r,18.6091,1,1
203,2458245.7027083,99.0,99.0,r,17.1255,1,1
204,2458245.7036458,99.0,99.0,r,17.4486,1,1
205,2458245.757581,99.0,99.0,g,17.321,1,1
206,2458245.7589931,99.0,99.0,g,16.5135,1,1
207,2458245.7894907,99.0,99.0,g,19.6975,1,1
208,2458246.7249769,99.0,99.0,r,20.5093,1,1
209,2458246.7258912,99.0,99.0,r,20.4845,1,1
210,2458246.7390741,99.0,99.0,r,20.4088,1,1
211,2458246.7989931,99.0,99.0,g,20.7465,1,1
212,2458246.8009028,99.0,99.0,g,20.8301,1,1
213,2458247.704375,99.0,99.0,g,20.9457,1,1
214,2458247.7290162,99.0,99.0,r,20.674,1,1
215,2458247.7553125,99.0,99.0,r,20.6603,1,1
216,2458247.800625,99.0,99.0,g,20.9533,1,1
217,2458247.8020718,99.0,99.0,g,20.9396,1,1
218,2458247.8326852,99.0,99.0,g,20.9641,1,1
219,2458248.6824306,99.0,99.0,g,20.8246,1,1
220,2458248.6906019,99.0,99.0,g,20.8871,1,1
221,2458248.7219792,99.0,99.0,g,20.7803,1,1
222,2458248.7228819,99.0,99.0,g,20.8023,1,1
223,2458248.7237963,99.0,99.0,g,20.7074,1,1
224,2458248.7492708,99.0,99.0,r,20.5702,1,1
225,2458248.7603241,99.0,99.0,r,20.5936,1,1
226,2458248.7612269,99.0,99.0,r,20.5735,1,1
227,2458248.7621412,99.0,99.0,r,20.5676,1,1
228,2458248.7751505,99.0,99.0,r,20.5329,1,1
229,2458249.6783681,99.0,99.0,g,18.5901,1,1
230,2458249.7216435,99.0,99.0,g,20.5547,1,1
231,2458249.7225463,99.0,99.0,g,20.1706,1,1
232,2458249.743287,99.0,99.0,r,20.079,1,1
233,2458249.7587963,99.0,99.0,r,20.1836,1,1
234,2458249.7597106,99.0,99.0,r,20.1658,1,1
235,2458249.791331,99.0,99.0,r,20.1999,1,1
236,2458249.8031713,99.0,99.0,i,19.5953,1,1
237,2458250.7058796,99.0,99.0,g,20.121,1,1
238,2458250.7403704,99.0,99.0,r,20.2599,1,1
239,2458254.6826736,99.0,99.0,r,20.7417,1,1
240,2458254.7020486,99.0,99.0,r,20.6587,1,1
241,2458254.7029861,99.0,99.0,r,20.6725,1,1
242,2458254.7048495,99.0,99.0,r,20.6281,1,1
243,2458255.6796528,99.0,99.0,g,20.7335,1,1
244,2458255.707037,99.0,99.0,g,20.7571,1,1
245,2458255.7079514,99.0,99.0,g,20.7952,1,1
246,2458255.7280093,99.0,99.0,g,20.9174,1,1
247,2458255.7908565,99.0,99.0,r,20.5619,1,1
248,2458256.7702778,99.0,99.0,r,20.4549,1,1
249,2458257.6937153,99.0,99.0,i,19.8285,1,1
250,2458257.7172106,99.0,99.0,r,20.6503,1,1
251,2458257.7429051,99.0,99.0,r,20.4753,1,1
252,2458257.763206,99.0,99.0,r,20.5864,1,1
253,2458257.7641204,99.0,99.0,r,20.485,1,1
254,2458257.7650347,99.0,99.0,r,20.6811,1,1
255,2458257.7820949,99.0,99.0,r,20.6323,1,1
256,2458257.7830093,99.0,99.0,r,20.6739,1,1
257,2458257.7839236,99.0,99.0,r,20.6422,1,1
258,2458257.8109259,99.0,99.0,r,20.541,1,1
259,2458258.6827662,99.0,99.0,g,20.6232,1,1
260,2458258.7005903,99.0,99.0,r,20.5509,1,1
261,2458259.6822801,99.0,99.0,g,18.4985,1,1
262,2458259.7021296,99.0,99.0,g,16.7034,1,1
263,2458259.7244329,99.0,99.0,i,15.5858,1,1
264,2458259.7379745,99.0,99.0,r,16.4417,1,1
265,2458259.7746875,99.0,99.0,r,16.3853,1,1
266,2458260.6787153,99.0,99.0,r,20.3587,1,1
267,2458260.7040972,99.0,99.0,r,20.2681,1,1
268,2458260.7050116,99.0,99.0,r,20.2845,1,1
269,2458260.7059259,99.0,99.0,r,20.2788,1,1
270,2458262.7271875,99.0,99.0,g,20.3529,1,1
271,2458263.7688773,99.0,99.0,g,20.2422,1,1
272,2458263.8299653,99.0,99.0,i,19.5821,1,1
273,2458266.7473958,99.0,99.0,r,19.8248,1,1
274,2458266.7609954,99.0,99.0,r,19.7436,1,1
275,2458266.7693981,99.0,99.0,r,19.7746,1,1
276,2458266.7747569,99.0,99.0,r,19.4092,1,1
277,2458267.679537,99.0,99.0,g,19.4412,1,1
278,2458267.6961458,99.0,99.0,g,19.6573,1,1
279,2458267.7284375,99.0,99.0,g,19.6898,1,1
280,2458267.741088,99.0,99.0,i,19.6076,1,1
281,2458267.7864699,99.0,99.0,r,19.6182,1,1
282,2458267.8021528,99.0,99.0,r,19.7156,1,1
283,2458267.8205671,99.0,99.0,r,19.6102,1,1
284,2458269.6733912,99.0,99.0,r,20.1885,1,1
285,2458269.6947685,99.0,99.0,r,20.1737,1,1
286,2458269.6956829,99.0,99.0,r,20.2372,1,1
287,2458269.7238657,99.0,99.0,g,19.6652,1,1
288,2458269.7476968,99.0,99.0,g,19.8312,1,1
289,2458269.757037,99.0,99.0,g,19.7468,1,1
290,2458269.7601157,99.0,99.0,g,19.3661,1,1
291,2458270.7454514,99.0,99.0,g,19.9363,1,1
292,2458270.8074769,99.0,99.0,r,19.8274,1,1
293,2458270.8260069,99.0,99.0,r,19.6829,1,1
294,2458271.6761458,99.0,99.0,r,20.4643,1,1
295,2458272.6764699,99.0,99.0,r,20.6571,1,1
296,2458272.6773843,99.0,99.0,r,20.6548,1,1
297,2458272.6991667,99.0,99.0,g,20.8037,1,1
298,2458272.7239236,99.0,99.0,g,20.7864,1,1
299,2458272.724838,99.0,99.0,g,20.8057,1,1
300,2458272.7351852,99.0,99.0,g,20.8093,1,1
301,2458272.7907292,99.0,99.0,r,20.3915,1,1
302,2458272.8428009,99.0,99.0,i,19.4667,1,1
303,2458273.7465741,99.0,99.0,g,20.878,1,1
304,2458273.7580787,99.0,99.0,g,20.8221,1,1
305,2458273.8279167,99.0,99.0,r,20.3288,1,1
306,2458276.7075231,99.0,99.0,r,20.7861,1,1
307,2458276.7432523,99.0,99.0,g,20.9311,1,1
308,2458277.6829745,99.0,99.0,i,19.9173,1,1
309,2458278.7043287,99.0,99.0,g,20.6108,1,1
310,2458278.7170602,99.0,99.0,g,20.7836,1,1
311,2458278.7484028,99.0,99.0,r,20.5436,1,1
312,2458278.7568866,99.0,99.0,r,20.5064,1,1
313,2458278.7902431,99.0,99.0,r,20.4164,1,1
314,2458278.8434838,99.0,99.0,g,20.5036,1,1
315,2458279.6766782,99.0,99.0,r,20.5462,1,1
316,2458279.7232639,99.0,99.0,g,20.7898,1,1
317,2458281.7047685,99.0,99.0,r,20.748,1,1
318,2458281.7263194,99.0,99.0,r,20.7052,1,1
319,2458281.7896412,99.0,99.0,g,20.6549,1,1
320,2458281.8215046,99.0,99.0,r,20.486,1,1
321,2458282.6823843,99.0,99.0,i,20.1548,1,1
322,2458282.7059259,99.0,99.0,r,20.7284,1,1
323,2458282.7628704,99.0,99.0,g,20.7587,1,1
324,2458285.6817593,99.0,99.0,r,18.4985,1,1
325,2458285.721875,99.0,99.0,g,17.23,1,1
326,2458286.6805787,99.0,99.0,i,19.9048,1,1
327,2458288.7031366,99.0,99.0,g,20.5342,1,1
328,2458288.7424074,99.0,99.0,r,20.5719,1,1
329,2458290.6870833,99.0,99.0,i,19.7629,1,1
330,2458291.7414468,99.0,99.0,r,20.0765,1,1
331,2458294.6815046,99.0,99.0,g,20.0211,1,1
332,2458294.7395139,99.0,99.0,r,20.1442,1,1
333,2458295.6825463,99.0,99.0,g,19.9249,1,1
334,2458295.6993634,99.0,99.0,g,19.8872,1,1
335,2458295.7258912,99.0,99.0,g,19.7987,1,1
336,2458295.7422685,99.0,99.0,r,20.1643,1,1
337,2458295.7600463,99.0,99.0,r,19.893,1,1
338,2458295.7767245,99.0,99.0,r,19.812,1,1
339,2458295.825544,99.0,99.0,i,19.4861,1,1
340,2458296.6788426,99.0,99.0,g,19.4061,1,1
341,2458296.7408218,99.0,99.0,r,19.79,1,1
342,2458296.7759954,99.0,99.0,r,19.7348,1,1
343,2458297.7569213,99.0,99.0,r,19.7213,1,1
344,2458299.6770023,99.0,99.0,g,20.2198,1,1
345,2458299.7081134,99.0,99.0,g,20.0916,1,1
346,2458299.7287384,99.0,99.0,g,19.8935,1,1
347,2458300.6822917,99.0,99.0,r,20.4485,1,1
348,2458300.6976968,99.0,99.0,g,20.6371,1,1
349,2458302.6875,99.0,99.0,i,20.2733,1,1
350,2458303.7043866,99.0,99.0,g,20.7633,1,1
351,2458306.6780556,99.0,99.0,r,20.12,1,1
352,2458306.7236806,99.0,99.0,g,20.5054,1,1
353,2458308.6749306,99.0,99.0,i,19.4318,1,1
354,2458308.6922685,99.0,99.0,g,19.957,1,1
355,2458308.7105671,99.0,99.0,g,20.6985,1,1
356,2458313.7384954,99.0,99.0,g,20.3899,1,1
357,2458319.6825926,99.0,99.0,g,19.7215,1,1
358,2458319.7045486,99.0,99.0,g,19.7977,1,1
359,2458319.712338,99.0,99.0,r,19.8747,1,1
360,2458319.7132523,99.0,99.0,r,19.8017,1,1
361,2458319.7330324,99.0,99.0,r,19.7461,1,1
362,2458319.7595023,99.0,99.0,r,19.6588,1,1
363,2458320.7175347,99.0,99.0,i,19.8534,1,1
364,2458325.6877662,99.0,99.0,g,19.4479,1,1
365,2458325.7164583,99.0,99.0,r,19.5268,1,1
366,2458332.6775463,99.0,99.0,g,20.3982,1,1
367,2458336.6833102,99.0,99.0,g,20.4537,1,1
368,2458336.700544,99.0,99.0,r,20.3202,1,1
369,2458347.7053819,99.0,99.0,g,19.8052,1,1
370,2458365.6397454,99.0,99.0,r,19.8337,1,1
371,2458426.0284606,99.0,99.0,g,19.9149,1,1
372,2458431.0302662,99.0,99.0,g,20.5699,1,1
373,2458440.0205556,99.0,99.0,g,20.611,1,1
374,2458440.990625,99.0,99.0,g,18.0418,1,1
375,2458441.0491667,99.0,99.0,r,20.4937,1,1
376,2458443.9716204,99.0,99.0,r,19.7069,1,1
377,2458447.9719097,99.0,99.0,r,19.4183,1,1
378,2458448.0262153,99.0,99.0,r,19.544,1,1
379,2458450.9884954,99.0,99.0,g,19.8532,1,1
380,2458461.9916088,99.0,99.0,g,19.7935,1,1
381,2458465.0079167,99.0,99.0,g,20.8412,1,1
382,2458467.984456,99.0,99.0,g,19.4501,1,1
383,2458472.010544,99.0,99.0,g,20.5744,1,1
384,2458474.9900231,99.0,99.0,r,19.6667,1,1
385,2458481.0147222,99.0,99.0,g,19.8564,1,1
386,2458481.0561458,99.0,99.0,r,19.8356,1,1
387,2458483.0311111,99.0,99.0,g,20.1304,1,1
388,2458487.0107176,99.0,99.0,r,20.7046,1,1
389,2458487.0498032,99.0,99.0,g,20.6828,1,1
390,2458491.9852894,99.0,99.0,g,20.3568,1,1
391,2458495.0125116,99.0,99.0,g,21.0662,1,1
392,2458502.9760185,99.0,99.0,g,19.5633,1,1
393,2458503.0540625,99.0,99.0,r,20.4646,1,1
394,2458505.9461111,99.0,99.0,g,18.8567,1,1
395,2458506.9965972,99.0,99.0,g,19.4286,1,1
396,2458507.994919,99.0,99.0,g,19.3822,1,1
397,2458508.9878009,99.0,99.0,r,19.8893,1,1
398,2458511.9500347,99.0,99.0,g,20.6695,1,1
399,2458512.0299306,99.0,99.0,r,19.8351,1,1
400,2458514.9323148,99.0,99.0,r,19.4707,1,1
401,2458522.9513194,99.0,99.0,g,20.7619,1,1
402,2458522.9859606,99.0,99.0,g,20.6473,1,1
403,2458523.0386458,99.0,99.0,r,20.7147,1,1
404,2458526.9511111,99.0,99.0,g,20.2521,1,1
405,2458527.0196644,99.0,99.0,r,20.1054,1,1
406,2458534.9029745,99.0,99.0,r,19.0171,1,1
407,2458534.9244329,99.0,99.0,r,19.0819,1,1
408,2458534.9253356,99.0,99.0,r,19.043,1,1
409,2458534.9541551,99.0,99.0,r,19.0104,1,1
410,2458538.8613426,99.0,99.0,r,18.6228,1,1
411,2458538.8899306,99.0,99.0,i,18.2261,1,1
412,2458538.9167014,99.0,99.0,g,18.6758,1,1
413,2458538.9585995,99.0,99.0,g,19.3556,1,1
414,2458539.7539931,99.0,99.0,g,19.3915,1,1
415,2458539.7908218,99.0,99.0,g,20.124,1,1
416,2458539.8256597,99.0,99.0,r,18.7723,1,1
417,2458539.8387269,99.0,99.0,r,19.9484,1,1
418,2458539.8691435,99.0,99.0,r,20.036,1,1
419,2458539.8916782,99.0,99.0,g,20.0625,1,1
420,2458540.793287,99.0,99.0,r,20.1637,1,1
421,2458540.8207755,99.0,99.0,r,19.5585,1,1
422,2458540.8531597,99.0,99.0,r,20.6722,1,1
423,2458540.874537,99.0,99.0,g,20.8432,1,1
424,2458540.8784028,99.0,99.0,g,20.7491,1,1
425,2458540.8892824,99.0,99.0,g,20.62,1,1
426,2458540.8991667,99.0,99.0,g,20.6732,1,1
427,2458541.9994213,99.0,99.0,r,20.6556,1,1
428,2458543.7818634,99.0,99.0,g,19.6819,1,1
429,2458543.7998032,99.0,99.0,g,20.2022,1,1
430,2458543.8418634,99.0,99.0,r,20.2252,1,1
431,2458543.8427778,99.0,99.0,r,20.2576,1,1
432,2458543.8622685,99.0,99.0,r,20.4386,1,1
433,2458543.8843171,99.0,99.0,g,18.5311,1,1
434,2458543.8852431,99.0,99.0,g,18.3445,1,1
435,2458543.9086574,99.0,99.0,i,15.8972,1,1
436,2458543.9275231,99.0,99.0,r,17.6664,1,1
